,Produto,Preco
0,Cerveja Skol Pilsen Lata 473ml,"  Valor a vista:  R$ 3,79"
1,Cerveja Skol Pilsen Lata 350ml,"  Valor a vista:  R$ 2,89"
2,Cerveja Budweiser American Lager 473ml Lata,"  Valor a vista:  R$ 3,79"
3,Cerveja Antarctica Sub Zero Pilsen 350ml Lata,"  Valor a vista:  R$ 2,69"
4,Cerveja Brahma Extra Lager Puro Malte 350ml Lata,"  Valor a vista:  R$ 2,99"
5,Cerveja Caracu Escura 350ml Lata,"  Valor a vista:  R$ 4,29"
6,Cerveja Brahma Malzbier 350ml Lata,"  Valor a vista:  R$ 4,29"
7,Cerveja Brahma Zero 350ml Lata,"  Valor a vista:  R$ 3,59"
8,Cerveja Brahma Chopp Pilsen 473ml Lata,"  Valor a vista:  R$ 3,89"
9,Cerveja Antarctica Sub Zero Pilsen 473ml Lata,"  Valor a vista:  R$ 3,49"
10,Cerveja Kaiser Pilsen Lata 350ml,"  Valor a vista:  R$ 2,49"
11,Cerveja Budweiser Lata 473ml - Pack com 6 Unidades,"  Valor a vista:  R$ 22,70"
12,Cerveja Schornstein Ipa Lata 473ml,"  Valor a vista:  R$ 19,99"
13,Cerveja Heineken Lata 350ml ,"  Valor a vista:  R$ 4,79"
14,Cerveja Heineken Lata 473ml Pack com 12 Unidades,"  Valor a vista:  R$ 68,90"
15,Cerveja Kaiser Pilsen Lata 473ml ,"  Valor a vista:  R$ 3,25"
16,Cerveja Schin Pilsen Lata 350ml,"  Valor a vista:  R$ 2,49"
17,Cerveja Heineken Lata 350ml com 12 Unidades,"  Valor a vista:  R$ 57,48"
18,Cerveja Heineken Zero Lata 350ml ,"  Valor a vista:  R$ 4,79"
19,Cerveja BRAHMA Duplo Malte com 12 lata 350ml,"  Valor a vista:  R$ 40,59"
20,Cerveja Baden Baden Pilsen Cristal Lata 350ml,"  Valor a vista:  R$ 5,99"
21,Cerveja Eisenbahn American Ipa Puro Malte Lata 350ml,"  Valor a vista:  R$ 5,39"
22,Cerveja Budweiser American Lager 350ml Lata,"  Valor a vista:  R$ 3,49"
23,Cerveja Amstel Puro Malte Lata 473ml,"  Valor a vista:  R$ 3,79"
24,Cerveja Baden Baden Ipa Lata 350ml,"  Valor a vista:  R$ 5,99"
25,Cerveja Heineken Premium Puro Malte Lata 473ml,"  Valor a vista:  R$ 5,79"
26,Cerveja Baden Baden Witbier Lata 350ml,"  Valor a vista:  R$ 5,99"
27,Cerveja Eisenbahn Pale Ale Puro Malte Lata 350ml,"  Valor a vista:  R$ 5,45"
28,Cerveja Eisenbahn Pilsen Puro Malte Lata 350ml,"  Valor a vista:  R$ 4,29"
29,Cerveja Bohemia Puro Malte Lata 473ml,"  Valor a vista:  R$ 3,95"
30,Cerveja Amstel Puro Malte Lata 350ml,"  Valor a vista:  R$ 3,19"
31,Cerveja Kaiserdom Pilsener Lata 500ml,"  Valor a vista:  R$ 9,99"
32,Cerveja Becks Puro Malte 350ml Lata,"  Valor a vista:  R$ 4,49"
33,Cerveja Antarctica Pilsen 350ml Lata,"  Valor a vista:  R$ 2,69"
34,Cerveja Colorado Appia 350ml Lata,"  Valor a vista:  R$ 6,55"
35,Cerveja Brahma Chopp Pilsen 350ml Lata Pack C/12,"  Valor a vista:  R$ 38,28"
36,Cerveja Serramalte Puro Malte 350ml Lata,"  Valor a vista:  R$ 3,85"
37,Cerveja de Trigo Hoegaarden 269ML Lata,"  Valor a vista:  R$ 5,45"
38,Cerveja Patagonia Amber Lager 473ml Lata,"  Valor a vista:  R$ 6,85"
39,Cerveja Patagonia Ipa 473ml Lata,"  Valor a vista:  R$ 6,85"
40,Cerveja Spaten Puro Malte 350ml Lata,"  Valor a vista:  R$ 3,79"
41,Cerveja Brahma Chopp Pilsen 350ml Lata,"  Valor a vista:  R$ 3,19"
42,Cerveja BEAR BEER Wheat Lata 500ml,"  Valor a vista:  R$ 13,90"
43,Cerveja Bohemia Puro Malte 350ml Lata,"  Valor a vista:  R$ 3,19"
44,Cerveja Patagonia Weisse 473ml Lata,"  Valor a vista:  R$ 6,85"
45,Cerveja Michelob Ultra Light Lager Lata 350ml,"  Valor a vista:  R$ 3,99"
46,Cerveja Budweiser American Lager 310ml Lata Pack C/15,"  Valor a vista:  R$ 37,99"
47,Cerveja Skol Puro Malte Lata Sleek 350ml,"  Valor a vista:  R$ 2,79"
