Produto,Preco
Energético Monster Ultra Paradise Sem Açúcar 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Dragon Ice Tea Lemon 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Juice 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Energy Lata 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Ultra Violet 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Ultra 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Mango Loco 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Dragon Ice Tea Peach 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Juice Pacific Punch 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">89</span>"
Energético Monster Absolutely Zero 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Energético Monster Juice Pacific Punch 473ml,"  Valor a vista:  R$ <span class=""box-produto__preco__valor"">8,</span><span class=""box-produto__preco__centavos"">35</span>"
Escova Dental BITUFO Monster High Macia Acima de 5 Anos,  Valor a vista:  R$ NoneNone
