,Produto,Preco
0,Cerveja Skol Pilsen Lata 473ml,"  Valor a vista:  R$ 3,79"
1,Cerveja Skol Pilsen Lata 350ml,"  Valor a vista:  R$ 2,89"
2,Cerveja Caracu Escura 350ml Lata,"  Valor a vista:  R$ 4,29"
3,Cerveja Brahma Malzbier 350ml Lata,"  Valor a vista:  R$ 4,29"
4,Cerveja Antarctica Sub Zero Pilsen 350ml Lata,"  Valor a vista:  R$ 2,69"
5,Cerveja Budweiser American Lager 473ml Lata,"  Valor a vista:  R$ 3,79"
6,Cerveja Brahma Chopp Pilsen 473ml Lata,"  Valor a vista:  R$ 3,89"
7,Cerveja Antarctica Sub Zero Pilsen 473ml Lata,"  Valor a vista:  R$ 3,49"
8,Cerveja Brahma Zero 350ml Lata,"  Valor a vista:  R$ 3,59"
9,Cerveja Brahma Extra Lager Puro Malte 350ml Lata,"  Valor a vista:  R$ 2,99"
10,Cerveja Kaiser Pilsen Lata 350ml,"  Valor a vista:  R$ 2,49"
11,Cerveja Stella Artois Puro Malte 350ml Lata,"  Valor a vista:  R$ 3,99"
12,Cerveja Schornstein Ipa Lata 473ml,"  Valor a vista:  R$ 19,99"
13,Cerveja Heineken Zero Lata 350ml ,"  Valor a vista:  R$ 4,79"
14,Cerveja Budweiser Lata 473ml - Pack com 6 Unidades,"  Valor a vista:  R$ 22,70"
15,Cerveja Heineken Lata 473ml Pack com 12 Unidades,"  Valor a vista:  R$ 68,90"
16,Cerveja Stella Artois Puro Malte 269ml Lata Pack C/8,"  Valor a vista:  R$ 26,32"
17,Cerveja Stella Artois Lata 350ml Pack com 8 Unidades,"  Valor a vista:  R$ 31,90"
18,Cerveja Heineken Lata 350ml ,"  Valor a vista:  R$ 4,79"
19,Cerveja Stella Artois Puro Malte 269ml Lata,"  Valor a vista:  R$ 3,29"
20,Cerveja Heineken Lata 350ml com 12 Unidades,"  Valor a vista:  R$ 57,48"
21,Cerveja Schin Pilsen Lata 350ml,"  Valor a vista:  R$ 2,49"
22,Cerveja Kaiser Pilsen Lata 473ml ,"  Valor a vista:  R$ 3,25"
23,Cerveja Bohemia Puro Malte Lata 473ml,"  Valor a vista:  R$ 3,95"
24,Cerveja Eisenbahn American Ipa Puro Malte Lata 350ml,"  Valor a vista:  R$ 5,39"
25,Cerveja Amstel Puro Malte Lata 350ml,"  Valor a vista:  R$ 3,19"
26,Cerveja Eisenbahn Pilsen Puro Malte Lata 350ml,"  Valor a vista:  R$ 4,29"
27,Cerveja Eisenbahn Pale Ale Puro Malte Lata 350ml,"  Valor a vista:  R$ 5,45"
28,Cerveja Heineken Premium Puro Malte Lata 473ml,"  Valor a vista:  R$ 5,79"
29,Cerveja Amstel Puro Malte Lata 473ml,"  Valor a vista:  R$ 4,29"
30,Cerveja Budweiser American Lager 350ml Lata,"  Valor a vista:  R$ 3,79"
31,Cerveja Baden Baden Witbier Lata 350ml,"  Valor a vista:  R$ 5,99"
32,Cerveja Dado Bier Weiss Lata 350ml,"  Valor a vista:  R$ 5,55"
33,Cerveja Baden Baden Pilsen Cristal Lata 350ml,"  Valor a vista:  R$ 5,99"
34,Cerveja BRAHMA Duplo Malte com 12 lata 350ml,"  Valor a vista:  R$ 35,85"
35,Cerveja Baden Baden Ipa Lata 350ml,"  Valor a vista:  R$ 5,99"
36,Cerveja Kaiserdom Pilsener Lata 500ml,"  Valor a vista:  R$ 9,99"
37,Cerveja Patagonia Ipa 473ml Lata,"  Valor a vista:  R$ 6,85"
38,Cerveja Skol Puro Malte Lata Sleek 350ml,"  Valor a vista:  R$ 2,79"
39,Cerveja de Trigo Hoegaarden 269ML Lata,"  Valor a vista:  R$ 5,45"
40,Cerveja Brahma Chopp Pilsen 350ml Lata,"  Valor a vista:  R$ 3,19"
41,Cerveja Spaten Puro Malte 350ml Lata,"  Valor a vista:  R$ 3,79"
42,Cerveja Antarctica Pilsen 350ml Lata,"  Valor a vista:  R$ 2,69"
43,Cerveja Patagonia Amber Lager 473ml Lata,"  Valor a vista:  R$ 6,85"
44,Cerveja Bohemia Puro Malte 350ml Lata,"  Valor a vista:  R$ 3,19"
45,Cerveja Becks Puro Malte 350ml Lata,"  Valor a vista:  R$ 4,49"
46,Cerveja Brahma Chopp Pilsen 350ml Lata Pack C/12,"  Valor a vista:  R$ 38,28"
47,Cerveja Colorado Appia 350ml Lata,"  Valor a vista:  R$ 6,55"
