Produto,Preco
Energético Monster Dragon Ice Tea Lemon 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Ultra Paradise Sem Açúcar 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Ultra Violet 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Juice 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Energy Lata 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Mango Loco 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Ultra 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Juice Pacific Punch 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Absolutely Zero 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Dragon Ice Tea Peach 473ml,"  Valor a vista:  R$ 8,35"
Energético Monster Juice Pacific Punch 473ml ,"  Valor a vista:  R$ 8,89"
